t,y
01:10:02:12,1.02
5,1.69
,2.13
,2.2
,2.28
,2.27
,2.28
,2.14
14,1.65
5,1.94
,2.08
,2.21
,2.25
,2.21
,2.22
,2.23
,2.25
,2.18
,2.17
,2.22
,2.21
,2.24
,2.14
,2.24
,2.16
,2.21
,2.21
,2.24
,2.29
,2.27
,2.21
,2.19
,2.22
,2.26
,2.3
,2.27
,2.29
,2.23
,2.26
,2.2
,2.32
,2.19
,2.24
,2.25
,2.25
,2.3
,2.24
,2.21
,2.18
,2.22
,2.27
,2.27
,2.32
,2.39
,2.26
,2.37
,2.32
,2.36
,2.36
,2.26
,2.33
,2.36
,2.34
,2.32
,2.34
,2.4
,2.33
,2.3
,2.39
,2.35
,2.36
,2.34
,2.36
,2.32
,2.29
,2.33
,2.35
,2.37
,2.29
,2.29
,2.29
,2.32
,2.26
,2.32
,2.36
,2.17
