l_lat,l_long,list_dist_mship,t,fix_quality,action_type,l_diff
43.17229856,5.6128166,0.151,1612170117,1.0,3.0,0.0
43.17229592,5.61290452,0.166,8,,,0.01
43.17230008,5.6129928,0.189,10,,,
43.1723084,5.61308098,0.196,5,,,
43.17229828,5.61316848,0.196,3,,,
43.17228805,5.61325771,0.199,4,,,
43.17227979,5.61334778,0.199,3,,,0.011
43.17227281,5.6134381,0.198,3,,,0.01
43.17226911,5.61352655,0.201,4,,,
43.17226762,5.61361569,0.2,3,,,
43.1722674,5.61370555,0.2,3,,,0.011
43.1722681,5.61379476,0.199,3,,,0.01
43.17226879,5.613885,0.198,3,,,
43.17227097,5.61397397,0.199,4,,,
43.17227601,5.61406211,0.198,3,,,
43.17228171,5.61415048,0.202,5,,,
43.17228739,5.61424001,0.204,4,,,
43.17227604,5.61432732,0.206,4,,,
43.17227527,5.61441743,0.208,4,,,0.011
43.17228413,5.61450547,0.207,3,,,0.01
43.1722888,5.61459511,0.206,3,,,
43.17229244,5.61468531,0.208,4,,,
43.17229666,5.6147743,0.207,3,,,
43.17230238,5.61486353,0.207,3,,,0.011
43.172307,5.61495322,0.209,4,,,0.01
43.17231211,5.61504326,0.208,3,,,
43.17231861,5.61513294,0.207,3,,,
43.17232806,5.61522158,0.205,3,,,
43.1723407,5.61530938,0.206,4,,,0.011
43.1723591,5.61539621,0.204,3,,,0.01
43.17236992,5.61548369,0.203,3,,,
43.17239353,5.61556901,0.204,4,,,
43.17241347,5.61565471,0.202,3,,,
43.17244419,5.61573836,0.201,3,,,
43.172476,5.61582179,0.203,4,,,
43.1725079,5.61590416,0.202,3,,,
43.1725472,5.6159827,0.204,4,,,
43.1725742,5.61606725,0.203,3,,,
43.17260917,5.61614964,0.205,4,,,0.011
43.17264621,5.61623096,0.204,3,,,0.01
43.17267775,5.61631563,0.207,4,,,
43.17271194,5.61639923,0.206,3,,,
43.17274405,5.61648334,0.208,4,,,0.011
43.1727723,5.61656723,0.207,3,,,0.01
43.17280151,5.6166511,0.207,4,,,
43.1728285,5.61673495,0.206,3,,,
43.17285846,5.61681931,0.204,3,,,
43.17289594,5.61690087,0.206,4,,,
43.1729316,5.61698164,0.204,3,,,
43.17297641,5.61705991,0.206,4,,,0.011
43.17301572,5.61713866,0.205,3,,,0.01
43.17304973,5.61722124,0.208,4,,,
43.17308142,5.6173055,0.207,3,,,
43.17310828,5.61738982,0.207,3,,,
43.17313187,5.61747457,0.209,4,,,
43.17315199,5.61756103,0.209,3,,,
43.17317181,5.61764901,0.208,3,,,
43.17319002,5.61773721,0.208,3,,,0.011
43.17320889,5.61782538,0.21,4,,,0.01
43.17322807,5.61791166,0.21,3,,,
43.17324702,5.61799777,0.21,3,,,
43.17326684,5.61808598,0.209,3,,,
43.17329061,5.61817136,0.211,4,,,0.011
43.17331832,5.61825675,0.21,3,,,0.01
43.17334613,5.61834167,0.21,3,,,
43.17337786,5.61842617,0.212,4,,,
43.17340858,5.61850953,0.211,3,,,
43.17343419,5.61859584,0.211,3,,,0.011
43.17345959,5.61868274,0.213,4,,,0.01
43.17348072,5.61876911,0.213,3,,,
43.17349466,5.61885637,0.212,3,,,
43.17351633,5.61894411,0.214,4,,,
43.17353969,5.61902956,0.213,3,,,0.011
43.17355025,5.61911701,0.213,3,,,0.01
43.17358063,5.61920065,0.215,4,,,
43.17359815,5.61928898,0.215,3,,,
43.17361946,5.61937477,0.214,3,,,
43.17364183,5.61946198,0.218,4,,,
43.17365498,5.61954964,0.217,3,,,
43.17367388,5.61963623,0.217,3,,,0.011
43.17368708,5.6197258,0.217,3,,,0.01
43.17371184,5.61981228,0.22,4,,,
43.17372491,5.61990075,0.22,3,,,
43.17374581,5.61998724,0.219,3,,,
43.17376987,5.62007363,0.219,3,,,0.011
43.17378423,5.62016098,0.219,3,,,0.01
43.17379892,5.62024943,0.222,4,,,
43.1738103,5.62033932,0.222,3,,,
43.17382264,5.62042856,0.221,3,,,0.011
43.17383544,5.62051807,0.221,3,,,0.01
43.17384636,5.62060603,0.221,3,,,
43.17386093,5.62069325,0.221,3,,,
43.17387392,5.62078093,0.22,3,,,
43.17388687,5.62087015,0.223,4,,,
43.17390758,5.62095705,0.223,3,,,0.011
43.17392096,5.6210448,0.223,3,,,0.01
43.1739343,5.62113456,0.222,3,,,
43.1739458,5.62122175,0.221,3,,,
43.17395903,5.62131045,0.221,3,,,
43.17397114,5.62139791,0.221,3,,,
43.17398645,5.62148469,0.22,3,,,
43.17400077,5.6215728,0.223,4,,,
43.17401742,5.62166149,0.222,3,,,0.011
43.17403172,5.62175098,0.221,3,,,0.01
43.17405335,5.62183839,0.221,3,,,
43.1740677,5.62192514,0.221,3,,,
43.17407986,5.62201386,0.22,3,,,0.011
43.17409857,5.62210221,0.223,4,,,0.01
43.17410936,5.62219077,0.222,3,,,
43.1741252,5.62227849,0.222,3,,,
43.17414465,5.62236632,0.221,3,,,
43.17416293,5.62245471,0.22,3,,,0.011
43.17418137,5.62254116,0.22,3,,,0.01
43.17420222,5.62262824,0.219,3,,,
43.17421709,5.62271753,0.222,4,,,
43.17422847,5.62280749,0.221,3,,,0.011
43.17424363,5.62289636,0.22,3,,,0.01
43.17425735,5.62298619,0.219,3,,,
43.1742727,5.62307536,0.221,4,,,
43.1742867,5.62316316,0.22,3,,,0.011
43.17430723,5.62324911,0.22,3,,,0.01
43.17432502,5.62333739,0.219,3,,,
43.1743388,5.62342547,0.218,3,,,
43.17435223,5.62351267,0.217,3,,,
43.17436921,5.62360145,0.219,4,,,
43.17438631,5.62368882,0.218,3,,,0.011
43.17440202,5.62377561,0.217,3,,,0.01
43.17441008,5.62386472,0.217,3,,,
43.17443109,5.62395163,0.219,4,,,
43.1744427,5.62403977,0.219,3,,,
43.17445489,5.62412826,0.218,3,,,
43.17447093,5.62421639,0.218,3,,,
43.17449089,5.62430308,0.217,3,,,0.011
43.174504,5.62439135,0.218,4,,,0.01
43.17452273,5.62447824,0.215,3,,,
43.17454104,5.62456512,0.212,3,,,
43.17454844,5.62465447,0.209,4,,,
43.17455696,5.6247429,0.206,4,,,
43.17456584,5.62483188,0.204,5,,,0.011
43.17457676,5.62491996,0.205,7,,,0.01
